Institute,Branch,Category,Gender,Quota,mean,std,count,NIRF_Rank,Priority
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),HS,15393.653333333334,3406.6838045722666,29.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),OS,7615.333333333333,1177.0146143098013,30.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,HS,14696.64,2536.8884610612163,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,OS,7072.266666666667,1174.3624388642231,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),HS,54257.094117647066,23049.622880981497,39.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),OS,17473.277777777777,2918.8437474368543,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,HS,76788.41111111111,30205.29954595676,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,OS,14183.964444444446,2052.53269276717,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Female-only (including Supernumerary),OS,1439.0,142.8355697996826,2.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,OS,628.0,111.69153951844338,3.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),HS,57139.68444444444,12247.421165788131,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),OS,47391.08666666666,6793.698332852651,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,HS,66499.01777777777,15263.115607208916,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,OS,42517.57777777778,7034.960384550514,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,OS,1616.3333333333333,802.2574210918648,12.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),HS,11750.644444444444,2759.5868445184005,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),OS,8381.60888888889,2596.821099334958,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",SC,Gender-Neutral,HS,12629.35777777778,1645.190201028737,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",SC,Gender-Neutral,OS,7228.426666666666,1418.03427321063,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),OS,3293.0,141.04609175726918,6.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",ST,Gender-Neutral,HS,16154.0,500.0,6.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",ST,Gender-Neutral,OS,2870.1911111111112,293.14586396702856,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),HS,11120.746666666666,1793.4711576374211,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),OS,6937.533333333334,957.3087627442312,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,HS,11040.533333333333,1008.1960693663283,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,OS,5519.373333333333,1000.7023441126763,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,OS,370.0,500.0,2.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),HS,55562.83111111111,12550.59609817447,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),OS,16045.415555555555,1875.9390113727693,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,HS,58098.70444444445,10098.572656327327,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,OS,11468.66888888889,1910.9211266923146,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,OS,876.0,322.40735103282,5.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),HS,48203.23777777777,4008.7253242907227,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),OS,39075.45777777778,6146.567610781031,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,HS,52557.92,7401.094792120367,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,OS,33534.991111111114,5724.26718208988,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,HS,1427.8000000000002,458.0545819004543,6.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,OS,1946.7876923076922,446.7517869463815,31.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),HS,9699.193333333335,2277.041641917071,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),OS,7310.6,1256.3135643426044,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,HS,10466.617777777778,1302.753415729593,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,OS,6265.0,868.2991405967044,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),HS,18656.5,2724.4824279117674,2.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),OS,3567.7999999999997,336.78556626889286,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,OS,2342.924444444445,298.1229509823741,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),HS,12000.439999999999,2662.176657921708,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),OS,8006.626666666666,1294.482483141299,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,HS,11705.453333333333,2227.3586037232158,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,OS,6144.213333333333,1272.3574870255277,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,OS,384.06666666666666,101.20347255476393,7.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),HS,60585.53333333333,18024.222983421438,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),OS,18030.33111111111,2640.356719478935,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,HS,53841.706666666665,12033.651555067585,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,OS,12132.335555555555,2740.8921742701973,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,OS,761.1111111111111,314.4829348945174,18.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),HS,61281.71333333333,16047.681519611426,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),OS,46633.38888888889,9165.580107051626,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,HS,57686.102222222224,12247.287300141003,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,OS,37352.50666666667,7768.83153690312,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Female-only (including Supernumerary),OS,1868.0,500.0,1.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,HS,2185.0,500.0,6.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,OS,1156.6666666666667,660.0832389577403,18.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),HS,9211.666666666666,994.7937618277614,36.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),OS,7040.599999999999,1659.4226276457898,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,HS,10670.553333333333,1126.0185145555783,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,OS,5543.251111111111,1101.0480677795024,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",SC (PwD),Gender-Neutral,OS,67.0,500.0,1.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),HS,5405.857142857143,3288.290915180277,7.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),OS,2414.666666666667,819.2121500551792,29.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,HS,18004.42,7266.019145538589,25.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,OS,1255.2444444444445,277.5385448950092,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",ST (PwD),Gender-Neutral,OS,35.0,500.0,6.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),HS,3609.1466666666665,729.9859581934874,35.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),OS,2557.3333333333335,397.652485418693,35.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,HS,3224.3866666666668,446.4406610799987,35.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,OS,1476.1333333333332,218.5463933594425,35.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,HS,308.0,159.21683328090657,6.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,OS,51.666666666666664,13.832329280830951,12.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),HS,14997.7,5951.866891173214,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),OS,6689.713333333333,1110.162870384561,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,HS,10598.34,1221.8631714541925,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,OS,3417.195555555555,379.639830918085,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Female-only (including Supernumerary),OS,466.0,500.0,6.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,HS,843.6315789473684,367.36028493478767,19.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,OS,174.86,66.10737272849406,29.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),HS,17750.96888888889,3198.704464310512,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),OS,15320.640000000001,2385.9447134436614,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,HS,14451.242222222223,2266.5218496899497,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,OS,9258.908888888891,1076.6691137428456,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Female-only (including Supernumerary),OS,349.4,102.35766170195032,11.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,HS,590.4777777777778,295.7896624127421,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,OS,320.76666666666665,61.400405178610676,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),HS,4881.833333333334,1297.6746106485828,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),OS,2557.6977777777774,589.6000928699003,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,HS,3578.246666666667,603.527101458685,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,OS,1939.7866666666666,278.74456136004676,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",SC (PwD),Gender-Neutral,HS,163.2,37.31062856549819,23.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",SC (PwD),Gender-Neutral,OS,118.33333333333333,60.61702931045238,12.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),HS,10968.245161290322,6781.918922797355,36.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),OS,1492.0111111111112,605.4006061298907,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,HS,8064.388888888889,7251.099684724028,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,OS,786.7666666666667,170.07424490641668,41.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",ST (PwD),Gender-Neutral,OS,41.0,5.222329678670935,11.0,55.0,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,HS,4351.48,485.4705683429972,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,OS,2015.1866666666665,102.94544009505053,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),HS,32594.8,10605.507111444935,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),OS,8275.466666666667,529.9568593076918,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,HS,17706.38666666667,2490.4089368469736,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,OS,4909.066666666667,259.6910752133283,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,OS,310.0,500.0,6.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),HS,22021.440000000002,1272.5523386271602,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),OS,20616.96,853.390915434102,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,HS,19214.2,574.254868978448,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,OS,13024.32,433.6081809023609,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,OS,501.0,96.61309905541229,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),HS,6622.666666666667,154.86269578389283,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),OS,4515.719999999999,320.24249334754836,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,HS,4565.266666666666,754.5494140093266,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,OS,2751.88,153.16598245634762,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,HS,8521.666666666666,2407.2914806328026,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,OS,1111.4666666666667,115.84943206201277,11.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",ST (PwD),Gender-Neutral,OS,45.0,500.0,5.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),HS,7473.34,1312.8346075940228,29.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),OS,4578.6,636.1854969697296,35.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,HS,6185.986666666667,797.2827118965239,35.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,OS,3137.6133333333337,475.3694750561147,35.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),HS,38562.962222222224,9567.893108738408,41.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),OS,10896.426666666666,949.8199634800325,35.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,HS,31128.993333333332,7288.047195538064,41.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,OS,6666.326666666666,776.5808872166788,41.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,OS,427.0,500.0,6.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),HS,31259.333333333332,3420.477290899762,41.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),OS,26744.202222222222,3764.6905989865304,41.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,HS,29028.89555555556,3398.769383460905,41.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,OS,19154.353333333333,2466.0532791506666,41.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Female-only (including Supernumerary),OS,1500.0,500.0,6.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,HS,1764.0,550.6452275891136,13.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,OS,1146.7111111111112,204.34459000044654,23.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),HS,8059.522222222223,1862.905277235324,41.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),OS,5245.0,730.7103939338456,29.0,55.0,3
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,HS,6981.3133333333335,925.5959649025607,41.0,55.0,3
